inputDistricKey,strDistricts
344,Huyện Kon Rẫy
345,Huyện Ngọc Hồi
346,Huyện Sa Thầy
347,Huyện Tu Mơ Rông
348,Thành phố Kon Tum
349,Huyện Mường Tè
350,Huyện Nậm Nhùn
351,Huyện Phong Thổ
352,Huyện Sìn Hồ
353,Huyện Tam Đường
354,Huyện Tân Uyên
355,Huyện Than Uyên
356,Thành phố Lai Châu
357,Huyện Bảo Lâm
358,Huyện Cát Tiên
359,Huyện Đạ Huoai
360,Huyện Đam Rông
361,Huyện Đạ Tẻh
362,Huyện Di Linh
363,Huyện Đơn Dương
364,Huyện Đức Trọng
365,Huyện Lạc Dương
366,Huyện Lâm Hà
367,Thành phố Bảo Lộc
368,Thành phố Đà Lạt
369,Huyện Bắc Sơn
370,Huyện Bình Gia
371,Huyện Cao Lộc
372,Huyện Chi Lăng
373,Huyện Đình Lập
374,Huyện Hữu Lũng
375,Huyện Lộc Bình
376,Huyện Tràng Định
377,Huyện Văn Lãng
378,Huyện Văn Quan
379,Thành phố Lạng Sơn
380,Huyện Bắc Hà
381,Huyện Bảo Thắng
382,Huyện Bảo Yên
383,Huyện Bát Xát
384,Huyện Mường Khương
385,Huyện Si Ma Cai
386,Huyện Văn Bàn
387,Thành phố Lào Cai
388,Thị xã Sa Pa
389,Huyện Bến Lức
390,Huyện Cần Đước
391,Huyện Cần Giuộc
392,Huyện Châu Thành
393,Huyện Đức Hòa
394,Huyện Đức Huệ
395,Huyện Mộc Hóa
396,Huyện Tân Hưng
397,Huyện Tân Thạnh
398,Huyện Tân Trụ
399,Huyện Thạnh Hóa
400,Huyện Thủ Thừa
401,Huyện Vĩnh Hưng
402,Thành phố Tân An
403,Thị xã Kiến Tường
404,Huyện Giao Thủy
405,Huyện Hải Hậu
406,Huyện Mỹ Lộc
407,Huyện Nam Trực
408,Huyện Nghĩa Hưng
409,Huyện Trực Ninh
410,Huyện Vụ Bản
411,Huyện Xuân Trường
412,Huyện Ý Yên
413,Thành phố Nam Định
414,Huyện Anh Sơn
415,Huyện Con Cuông
416,Huyện Diễn Châu
417,Huyện Đô Lương
418,Huyện Hưng Nguyên
419,Huyện Kỳ Sơn
420,Huyện Nam Đàn
421,Huyện Nghĩa Đàn
422,Huyện Nghi Lộc
423,Huyện Quế Phong
424,Huyện Quỳ Châu
425,Huyện Quỳ Hợp
426,Huyện Quỳnh Lưu
427,Huyện Tân Kỳ
428,Huyện Thanh Chương
429,Huyện Tương Dương
430,Huyện Yên Thành
431,Thành phố Vinh
432,Thị xã Cửa Lò
433,Thị xã Hoàng Mai
434,Thị xã Thái Hòa
435,Huyện Gia Viễn
436,Huyện Hoa Lư
437,Huyện Kim Sơn
438,Huyện Nho Quan
439,Huyện Yên Khánh
440,Huyện Yên Mô
441,Thành phố Ninh Bình
442,Thành phố Tam Điệp
443,Huyện Bác ái
444,Huyện Ninh Hải
445,Huyện Ninh Phước
446,Huyện Ninh Sơn
447,Huyện Thuận Bắc
448,Huyện Thuận Nam
449,Thành Phố Phan Rang - Tháp Chàm
450,Huyện Cẩm Khê
451,Huyện Đoan Hùng
452,Huyện Hạ Hòa
453,Huyện Lâm Thao
454,Huyện Phù Ninh
455,Huyện Tam Nông
456,Huyện Tân Sơn
457,Huyện Thanh Ba
458,Huyện Thanh Sơn
459,Huyện Thanh Thủy
460,Huyện Yên Lập
461,Thành phố Việt Trì
462,Thị xã Phú Thọ
463,Huyện Đông Hòa
464,Huyện Đồng Xuân
465,Huyện Phú Hòa
466,Huyện Sông Hinh
467,Huyện Sơn Hòa
468,Huyện Tây Hòa
469,Huyện Tuy An
470,Thành phố Tuy Hòa
471,Thị xã Sông Cầu
472,Huyện Bố Trạch
473,Huyện Lệ Thủy
474,Huyện Minh Hoá
475,Huyện Quảng Ninh
476,Huyện Quảng Trạch
477,Huyện Tuyên Hoá
478,Thành phố Đồng Hới
479,Thị xã Ba Đồn
480,Huyện Bắc Trà My
481,Huyện Đại Lộc
482,Huyện Đông Giang
483,Huyện Duy Xuyên
484,Huyện Hiệp Đức
485,Huyện Nam Giang
486,Huyện Nam Trà My
487,Huyện Nông Sơn
488,Huyện Núi Thành
489,Huyện Phú Ninh
490,Huyện Phước Sơn
491,Huyện Quế Sơn
492,Huyện Tây Giang
493,Huyện Thăng Bình
494,Huyện Tiên Phước
495,Thành phố Hội An
496,Thành phố Tam Kỳ
497,Thị xã Điện Bàn
498,Huyện Ba Tơ
499,Huyện Bình Sơn
500,Huyện Lý Sơn
501,Huyện Minh Long
502,Huyện Mộ Đức
503,Huyện Nghĩa Hành
504,Huyện Sơn Hà
505,Huyện Sơn Tây
506,Huyện Sơn Tịnh
507,Huyện Tây Trà
508,Huyện Trà Bồng
509,Huyện Tư Nghĩa
510,Thành phố Quảng Ngãi
511,Thị Xã Đức Phổ
512,Huyện Ba Chẽ
513,Huyện Bình Liêu
514,Huyện Cô Tô
515,Huyện Đầm Hà
516,Huyện Hải Hà
517,Huyện Hoành Bồ
518,Huyện Tiên Yên
519,Huyện Vân Đồn
520,Thành phố Cẩm Phả
521,Thành phố Hạ Long
522,Thành phố Móng Cái
523,Thành phố Uông Bí
524,Thị xã Đông Triều
525,Thị xã Quảng Yên
526,Huyện Cam Lộ
527,Huyện Đa Krông
528,Huyện Gio Linh
529,Huyện Hải Lăng
530,Huyện Hướng Hóa
531,Huyện Triệu Phong
532,Huyện Vĩnh Linh
533,Thành phố Đông Hà
534,Thị xã Quảng Trị
535,Huyện Châu Thành
536,Huyện Cù Lao Dung
537,Huyện Kế Sách
538,Huyện Long Phú
539,Huyện Mỹ Tú
540,Huyện Mỹ Xuyên
541,Huyện Thạnh Trị
542,Huyện Trần Đề
543,Thành phố Sóc Trăng
544,Thị xã Ngã Năm
545,Thị xã Vĩnh Châu
546,Huyện Bắc Yên
547,Huyện Mai Sơn
548,Huyện Mộc Châu
549,Huyện Mường La
550,Huyện Phù Yên
551,Huyện Quỳnh Nhai
552,Huyện Sông Mã
553,Huyện Sốp Cộp
554,Huyện Thuận Châu
555,Huyện Vân Hồ
556,Huyện Yên Châu
557,Thành phố Sơn La
558,Huyện Bến Cầu
559,Huyện Châu Thành
560,Huyện Dương Minh Châu
561,Huyện Gò Dầu
562,Huyện Tân Biên
563,Huyện Tân Châu
564,Thành phố Tây Ninh
565,Thị xã Hòa Thành
566,Thị xã Trảng Bàng
567,Huyện Đông Hưng
568,Huyện Hưng Hà
569,Huyện Kiến Xương
570,Huyện Quỳnh Phụ
571,Huyện Thái Thụy
572,Huyện Tiền Hải
573,Huyện Vũ Thư
574,Thành phố Thái Bình
575,Huyện Đại Từ
576,Huyện Định Hóa
577,Huyện Đồng Hỷ
578,Huyện Phú Bình
579,Huyện Phú Lương
580,Huyện Võ Nhai
581,Thành phố Sông Công
582,Thành phố Thái Nguyên
583,Thị xã Phổ Yên
584,Huyện Bá Thước
585,Huyện Cẩm Thủy
586,Huyện Đông Sơn
587,Huyện Hà Trung
588,Huyện Hậu Lộc
589,Huyện Hoằng Hóa
590,Huyện Lang Chánh
591,Huyện Mường Lát
592,Huyện Nga Sơn
593,Huyện Ngọc Lặc
594,Huyện Như Thanh
595,Huyện Như Xuân
596,Huyện Nông Cống
597,Huyện Quảng Xương
598,Huyện Quan Hóa
599,Huyện Quan Sơn
600,Huyện Thạch Thành
601,Huyện Thiệu Hóa
602,Huyện Thọ Xuân
603,Huyện Thường Xuân
